TF,target,importance,corr_sign,signed_importance,validated
CD27,LTBR,0.3156988385428936,-1.0,-0.3156988385428936,False
TNFRSF14,CCL5,0.3134560522082437,1.0,0.3134560522082437,False
CD2,PRKD2,0.3131157247872109,-1.0,-0.3131157247872109,True
CD247,CD28,0.3126652628429863,1.0,0.3126652628429863,False
PRDM1,TNFRSF8,0.3104711777674446,1.0,0.3104711777674446,False
TNFRSF25,JMJD1C,0.310449906292872,-1.0,-0.310449906292872,False
CD226,PAPOLG,0.3093644321120539,1.0,0.3093644321120539,False
CD247,CD2,0.3046798731109587,1.0,0.3046798731109587,True
CD28,CD2,0.3040585187429692,1.0,0.3040585187429692,False
OTUD7B,TNFRSF9,0.3032877359788019,1.0,0.3032877359788019,False
TNFRSF8,GZMA,0.3031148905818334,-1.0,-0.3031148905818334,False
ZEB2,CD2,0.3015147343049633,1.0,0.3015147343049633,False
TNFRSF4,APOBEC3C,0.3008120341048191,-1.0,-0.3008120341048191,False
FOXD2,CD40,0.2995187917726832,1.0,0.2995187917726832,False
HELZ2,CD40,0.299279276965634,1.0,0.299279276965634,False
TNFRSF4,PRKD2,0.2991357778701579,-1.0,-0.2991357778701579,False
CD2,GZMB,0.2984609432566901,1.0,0.2984609432566901,False
RAC2,TNFRSF14,0.2983353773398283,1.0,0.2983353773398283,False
TNFRSF1B,ICOS,0.2977835900253366,1.0,0.2977835900253366,False
CD27,TNFRSF9,0.2966065358679477,-1.0,-0.2966065358679477,False
FOXO1,CD28,0.2964940235845919,1.0,0.2964940235845919,False
CEACAM1,TNFRSF14,0.2964019959143184,1.0,0.2964019959143184,True
TNFRSF18,TAGAP,0.2963737266484826,1.0,0.2963737266484826,False
CD27,LHX4,0.2962406494144768,-1.0,-0.2962406494144768,False
CD2,IL1R1,0.2962220245542608,1.0,0.2962220245542608,False
TNFRSF9,FOSL1,0.2949853684704499,1.0,0.2949853684704499,False
ICOS,NLRC3,0.2947993710685566,-1.0,-0.2947993710685566,False
CD28,TNFRSF9,0.2944464125849673,-1.0,-0.2944464125849673,False
CD226,FOXO1,0.2928554246950755,1.0,0.2928554246950755,False
TNFRSF8,TCF7,0.2898461972555802,-1.0,-0.2898461972555802,False
ICOS,ALX4,0.2878583677416738,-1.0,-0.2878583677416738,False
TNFRSF18,VAV1,0.2870925059199333,1.0,0.2870925059199333,False
CD28,MUC1,0.2868048497798121,-1.0,-0.2868048497798121,False
CD27,NKG7,0.2865997495042576,-1.0,-0.2865997495042576,True
TNFRSF9,PAPOLG,0.2853544392529054,1.0,0.2853544392529054,True
CD226,ABCB10,0.2850199772802622,-1.0,-0.2850199772802622,False
TBX21,TNFRSF14,0.2844957722402155,-1.0,-0.2844957722402155,True
FOXL2NB,CD226,0.2837637467154363,-1.0,-0.2837637467154363,True
TNFRSF14,GNLY,0.2836118011922897,-1.0,-0.2836118011922897,False
RAC2,CD40,0.2832180889873967,1.0,0.2832180889873967,False
TNFRSF8,ITPKA,0.2825183723037661,1.0,0.2825183723037661,False
ICOS,GRAP,0.2824718230295951,-1.0,-0.2824718230295951,False
CD27,KLRG1,0.2823780450155307,1.0,0.2823780450155307,False
TNFRSF4,CD28,0.2808826243868417,-1.0,-0.2808826243868417,False
